date_hyphen,date_slash,date_number,product_name,product_id,product_brand,price,status,url
2022-04-28,2022/04/28,20220428,femor B08G8DRT5M,B08G8DRT5M,femor,0,descatalogado,https://sillasybienestar.com/ergonomia/sillas-ergonomicas/review-individual/femor/
2022-04-28,2022/04/28,20220428,Hbada HDNY108BM/EU,B07QWG9LD4,Hbada,0,sin_stock,https://sillasybienestar.com/oficina-y-escritorio/sillas-de-oficina/review-individual/hbada-hdny108bm-eu/
2022-04-28,2022/04/28,20220428,gtplayer bluetooth,B082F69ZXK,gtplayer,0,sin_stock,https://sillasybienestar.com/gaming/sillas-gaming/review-individual/gtplayer-rosa/
2022-04-28,2022/04/28,20220428,bgeu-a136,B08D8BVHMW,racing gaming,0,sin_stock,https://sillasybienestar.com/gaming/sillas-gaming/review-individual/silla-gamer-bgeu-a136-sencillez-y-buen-precio-ofertas-2021/
2022-04-28,2022/04/28,20220428,femor B08JD1T3JK,B08JD1T3JK,femor,0,descatalogado,https://sillasybienestar.com/gaming/sillas-gaming/review-individual/femor-gaming/
